{ata:ata/1n}	{bottom}
{atausi:atausiq/1n}	{one}
{gu:guk/tv-imp-2s-3s}	{order: you \...him/her/it}  
{gu:guk/tv-imp-2s-3s}	{order: you \...him/her/it}   
{gu:guk/tv-imp-2s-3s}	{order: you \...him/her/it}    
{lugu:lugu/tv-part-1d-3s-fut}	{part. future: while we (two) \...him/her/it}   
{lugu:lugu/tv-part-1p-3s-fut}	{part. future: while we (many) \...him/her/it}  
{lugu:lugu/tv-part-1s-3s-fut}	{part. future: while I \...him/her/it}  
{lugu:lugu/tv-part-2d-3s-fut}	{part. future: while you (two) \...him/her/it}  
{lugu:lugu/tv-part-2p-3s-fut}	{part. future: while you (many) \...him/her/it} 
{lugu:lugu/tv-part-2s-3s-fut}	{part. future: while you \...him/her/it}    
{lugu:lugu/tv-part-4d-3s-fut}	{part. future: while they (two) \...him/her/it} 
{lugu:lugu/tv-part-4p-3s-fut}	{part. future: while they (many) \...him/her/it}    
{lugu:lugu/tv-part-4s-3s-fut}	{part. future: while he/she/it \...him/her/it}  
{lu:luk/3vv}	{to perform an action in a poor or bad  manner}
{lu:luk/3vv}	{to perform an action in a poor or bad manner}
{si:liq/2nv}	{to provide, supply; to put s.t. (trans.: to, on s.o.)}
{si:si/2vv}	{the action is being done now, where it was not the case before; readiness, commencement of action or    motion}
{si:siq/1vv}	{to put or bring out, to be put or brought up for some natural process; to be waiting for an action to be performed or completed}
{si:siq/2vn}	{custom; way; habit; manner of doing s.t.}
{u:u/1nv}	{existence; is}
{u:uq/3vv}	{frequentative: many subjects; many objects}
{u:ut/2nn}	{bag, container for; s.t. which has\...}
